DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.

ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.

Date, GDP (Billions of US $), Per Capita (US $), Annual % Change
1960-12-31,4.1418,,
1961-12-31,2.158,-1.98,
1962-12-31,4.7662,2.61,
1963-12-31,2.8717,-1.89,
1964-12-31,3.3877,0.52,
1965-12-31,5.0128,1.63,
1966-12-31,6.4048,1.39,
1967-12-31,4.2893,-2.12,
1968-12-31,1.9431,-2.35,
1969-12-31,2.692,0.75,
1970-12-31,7.0164,4.32,
1971-12-31,7.3955,0.38,
1972-12-31,6.0074,-1.39,
1973-12-31,6.718,0.71,
1974-12-31,9.9117,3.19,
1975-12-31,9.7799,-0.13,
1976-12-31,10.2492,0.47,
1977-12-31,11.4418,1.19,
1978-12-31,9.9953,-1.45,
1979-12-31,7.2098,-2.79,
1980-12-31,13.7063,6.5,
1981-12-31,12.1039,-1.6,
1982-12-31,8.5892,-3.51,
1983-12-31,8.873,0.28,
1984-12-31,8.0442,-0.83,
1985-12-31,7.3726,-0.67,
1986-12-31,4.2359,-3.14,
1987-12-31,4.1886,-0.05,
1988-12-31,5.8249,1.64,
1989-12-31,6.4433,0.62,
1990-12-31,10.3666,3.92,
1991-12-31,9.4446,-0.92,
1992-12-31,2.3744,-7.07,
1993-12-31,4.7282,2.35,
1994-12-31,2.1581,-2.57,
1995-12-31,2.4551,0.3,
1996-12-31,0.5331,-1.92,
1997-12-31,0.6584,0.13,
1998-12-31,-0.2671,-0.93,
1999-12-31,0.4622,0.73,
2000-12-31,0.8991,0.44,
2001-12-31,2.406,1.51,
2002-12-31,2.1585,-0.25,
2003-12-31,1.9257,-0.23,
2004-12-31,0.3737,-1.55,
2005-12-31,0.4532,0.08,
2006-12-31,1.3602,0.91,
2007-12-31,2.2122,0.85,
2008-12-31,3.437,1.22,
2009-12-31,-0.4945,-3.93,
2010-12-31,1.158,1.65,
2011-12-31,2.9612,1.8,
2012-12-31,0.8884,-2.07,
2013-12-31,-0.0443,-0.93,
2014-12-31,-0.1796,-0.14,
2015-12-31,-0.0468,0.13,
2016-12-31,0.9843,1.03,
2017-12-31,1.7945,0.81,
2018-12-31,1.9535,0.16,
2019-12-31,1.7842,-0.17,
2020-12-31,0.4974,-1.29,
2021-12-31,2.1632,1.67,
2022-12-31,8.3693,6.21,
2023-12-31,8.5486,0.18,
