DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.

ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.

Date, GDP (Billions of US $), Per Capita (US $), Annual % Change
1991-12-31,3.243,,
1992-12-31,5.722,2.48,
1993-12-31,9.33,3.61,
1994-12-31,9.58,0.25,
1995-12-31,8.897,-0.68,
1996-12-31,9.547,0.65,
1997-12-31,10.359,0.81,
1998-12-31,8.941,-1.42,
1999-12-31,7.607,-1.33,
2000-12-31,5.466,-2.14,
2001-12-31,4.73,-0.74,
2002-12-31,4.965,0.23,
2003-12-31,5.555,0.59,
2004-12-31,6.693,1.14,
2005-12-31,7.486,0.79,
2006-12-31,7.066,-0.42,
2007-12-31,6.161,-0.91,
2008-12-31,6.235,0.07,
2009-12-31,8.351,2.12,
2010-12-31,8.61,0.26,
2011-12-31,7.804,-0.81,
2012-12-31,7.976,0.17,
2013-12-31,8.052,0.08,
2014-12-31,7.954,-0.1,
2015-12-31,7.432,-0.52,
2016-12-31,6.99,-0.44,
2017-12-31,6.718,-0.27,
2018-12-31,6.365,-0.35,
2019-12-31,6.833,0.47,
2020-12-31,8.291,1.46,
2021-12-31,8.722,0.43,
2022-12-31,7.392,-1.33,
2023-12-31,7.587,0.19,
