Date,Close/Last,Open,High,Low
10/03/2024,2461.27,2461.27,2483.99,2457.30
10/02/2024,2472.37,2472.37,2506.82,2460.46
10/01/2024,2497.25,2497.25,2519.43,2484.38
09/30/2024,2489.76,2489.76,2518.41,2479.19
09/27/2024,2513.05,2518.43,2559.84,2509.42
09/26/2024,2585.32,2585.32,2648.84,2583.09
09/25/2024,2611.00,2611.00,2639.46,2586.63
09/24/2024,2590.33,2590.33,2611.71,2572.01
09/23/2024,2586.93,2586.93,2641.06,2568.08
09/20/2024,2624.12,2660.67,2745.74,2614.77
09/19/2024,2729.34,2729.34,2749.12,2723.32
09/18/2024,2696.22,2696.22,2729.47,2695.84
09/17/2024,2745.20,2745.20,2777.58,2722.29
09/16/2024,2778.19,2778.19,2807.54,2773.25
09/13/2024,2778.01,2770.62,2807.70,2767.63
09/12/2024,2753.88,2753.88,2768.69,2747.85
09/11/2024,2690.47,2690.47,2721.57,2649.26
09/10/2024,2650.46,2650.46,2675.78,2644.35
09/09/2024,2676.27,2676.27,2701.82,2669.55
09/06/2024,2663.42,2699.53,2712.50,2641.65
09/05/2024,2674.51,2674.51,2736.71,2664.86
09/04/2024,2717.95,2717.95,2728.48,2697.80
09/03/2024,2763.82,2763.82,2801.66,2761.25
08/30/2024,2769.56,2777.99,2780.40,2742.43
08/29/2024,2753.32,2753.32,2753.88,2705.22
08/28/2024,2706.45,2706.45,2715.04,2697.89
08/27/2024,2710.77,2710.77,2726.30,2649.68
08/26/2024,2704.40,2704.40,2732.23,2694.30
08/23/2024,2724.65,2738.19,2743.32,2715.33
08/22/2024,2740.88,2740.88,2759.55,2691.11
08/21/2024,2695.27,2695.27,2730.08,2685.72
08/20/2024,2712.57,2712.57,2746.52,2709.55
08/19/2024,2739.17,2739.17,2745.74,2723.38
08/16/2024,2738.72,2733.55,2763.77,2728.03
08/15/2024,2760.36,2760.36,2764.63,2714.91
08/14/2024,2716.53,2716.53,2726.74,2688.90
08/13/2024,2722.45,2722.45,2722.73,2648.45
08/12/2024,2670.23,2670.23,2713.52,2667.45
08/09/2024,2726.50,2666.86,2726.50,2635.87
08/08/2024,2617.62,2617.62,2624.85,2541.46
08/07/2024,2550.39,2550.39,2654.50,2522.47
08/06/2024,2651.53,2651.53,2657.14,2601.77
08/05/2024,2563.98,2563.98,2610.92,2488.60
08/02/2024,2643.23,2689.88,2742.70,2641.33
08/01/2024,2750.57,2750.57,2783.76,2725.82
07/31/2024,2751.58,2751.58,2759.09,2714.09
07/30/2024,2714.89,2714.89,2749.03,2693.92
07/29/2024,2680.35,2680.35,2701.36,2643.44
07/26/2024,2656.64,2669.99,2685.91,2636.04
07/25/2024,2669.99,2669.99,2701.09,2645.12
07/24/2024,2712.33,2712.33,2735.31,2712.33
07/23/2024,2742.07,2742.07,2747.04,2723.54
07/22/2024,2714.16,2714.16,2725.40,2704.99
07/19/2024,2700.86,2712.32,2720.00,2658.98
07/18/2024,2655.43,2655.43,2736.57,2653.70
07/17/2024,2711.01,2711.01,2789.34,2709.87
07/16/2024,2826.75,2826.75,2843.90,2816.04
07/15/2024,2836.03,2836.03,2876.68,2830.90
07/12/2024,2867.58,2847.60,2867.64,2839.31
07/11/2024,2838.97,2838.97,2859.01,2837.13
07/10/2024,2850.42,2850.42,2851.42,2801.78
07/09/2024,2819.81,2819.81,2857.77,2808.74
07/08/2024,2862.66,2862.66,2871.69,2836.79
07/05/2024,2844.66,2856.54,2861.68,2832.54
07/03/2024,2837.72,2796.96,2850.18,2790.44
07/02/2024,2868.07,2868.07,2909.81,2814.10
07/01/2024,2895.73,2895.73,2917.89,2862.92
06/28/2024,2887.71,2896.65,2919.20,2881.90
06/27/2024,2889.65,2889.65,2907.68,2883.65
06/26/2024,2911.30,2911.30,2966.79,2903.69
06/25/2024,2952.52,2952.52,2952.58,2872.56
06/24/2024,2874.92,2874.92,2882.07,2854.89
06/21/2024,2866.72,2867.27,2884.80,2848.43
