"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2024","2,565.12","2,503.02","2,568.43","2,500.96","112.97M","2.04%"
"11/01/2024","2,513.85","2,546.14","2,626.57","2,462.17","2.36B","-1.12%"
"10/01/2024","2,542.41","2,632.75","2,641.22","2,535.33","2.12B","-3.20%"
"09/01/2024","2,626.44","2,595.27","2,649.92","2,478.33","2.21B","1.17%"
"08/01/2024","2,595.96","2,599.77","2,601.14","2,356.65","1.97B","-0.51%"
"07/01/2024","2,609.33","2,591.32","2,635.21","2,527.78","2.23B","1.55%"
"06/01/2024","2,569.45","2,627.47","2,636.26","2,548.01","1.88B","-1.33%"
"05/01/2024","2,604.10","2,544.09","2,648.20","2,522.71","2.55B","1.87%"
"04/01/2024","2,556.40","2,529.41","2,572.75","2,476.61","2.30B","1.51%"
"03/01/2024","2,518.27","2,463.69","2,557.52","2,440.90","2.33B","2.67%"
"02/01/2024","2,452.80","2,352.86","2,459.91","2,336.20","2.39B","4.08%"
"01/01/2024","2,356.60","2,402.39","2,418.15","2,285.87","2.39B","-1.65%"
"12/01/2023","2,396.07","2,237.36","2,403.19","2,236.51","2.47B","7.33%"
"11/01/2023","2,232.46","2,081.81","2,245.15","2,060.30","3.00B","7.55%"
"10/01/2023","2,075.79","2,157.47","2,235.90","2,036.88","2.71B","-3.70%"
"09/01/2023","2,155.49","2,179.53","2,212.19","2,119.11","2.30B","-1.34%"
"08/01/2023","2,184.74","2,247.05","2,252.86","2,132.09","2.01B","-2.94%"
"07/01/2023","2,250.92","2,312.83","2,316.34","2,199.98","2.66B","-2.55%"
"06/01/2023","2,309.90","2,248.58","2,326.12","2,205.37","3.22B","3.35%"
"05/01/2023","2,234.96","2,273.63","2,295.53","2,189.73","3.71B","-1.57%"
"04/01/2023","2,270.58","2,215.44","2,285.89","2,166.57","2.24B","2.11%"
"03/01/2023","2,223.74","2,231.29","2,268.96","2,050.44","3.01B","-0.14%"
"02/01/2023","2,226.75","2,197.11","2,295.30","2,189.09","2.36B","1.28%"
"01/01/2023","2,198.54","2,056.93","2,234.70","2,054.80","2.34B","7.59%"
"12/01/2022","2,043.40","2,125.53","2,162.30","2,023.77","2.20B","-2.81%"
"11/01/2022","2,102.42","1,980.21","2,121.13","1,945.39","2.68B","6.80%"
"10/01/2022","1,968.53","1,809.97","1,979.00","1,782.33","3.06B","7.63%"
"09/01/2022","1,828.98","1,903.96","1,985.20","1,781.87","2.77B","-4.75%"
"08/01/2022","1,920.23","2,031.99","2,065.13","1,919.04","2.09B","-5.53%"
"07/01/2022","2,032.53","1,860.72","2,035.43","1,850.40","2.74B","8.54%"
"06/01/2022","1,872.68","2,057.53","2,092.26","1,858.12","1.82B","-8.32%"
"05/01/2022","2,042.64","2,038.47","2,086.10","1,895.41","2.14B","-0.79%"
"04/01/2022","2,058.90","2,096.49","2,149.03","2,011.88","1.81B","-1.73%"
"03/01/2022","2,095.17","2,122.38","2,193.88","1,902.22","2.50B","-1.82%"
"02/01/2022","2,134.07","2,309.18","2,331.91","2,038.30","1.90B","-6.82%"
"01/01/2022","2,290.16","2,424.04","2,466.93","2,211.43","1.60B","-5.35%"
"12/01/2021","2,419.73","2,261.53","2,425.20","2,238.29","1.53B","7.94%"
"11/01/2021","2,241.66","2,301.01","2,390.34","2,229.50","1.79B","-2.15%"
"10/01/2021","2,290.85","2,224.40","2,353.63","2,203.58","1.68B","1.40%"
"09/01/2021","2,259.18","2,369.51","2,398.15","2,249.46","1.58B","-3.92%"
"08/01/2021","2,351.25","2,382.49","2,412.63","2,314.08","1.11B","-0.79%"
"07/01/2021","2,369.89","2,273.40","2,392.76","2,254.42","1.47B","4.72%"
"06/01/2021","2,263.13","2,253.04","2,300.38","2,227.25","1.42B","0.95%"
"05/01/2021","2,241.87","2,225.01","2,269.44","2,188.51","1.57B","1.12%"
