Date,Price,Open,High,Low,Vol.,Change %
10/08/2009,895.35,886.15,897.16,886.03,123.80M,1.12%
10/07/2009,885.43,891.4,895.57,882.78,121.97M,-0.72%
10/06/2009,891.88,876.78,894.68,876.66,141.61M,1.76%
10/05/2009,876.42,867.6,881.83,865.69,102.58M,0.99%
10/02/2009,867.84,877.49,877.61,859.88,153.81M,-1.19%
10/01/2009,878.33,896.4,902.51,877.01,139.47M,-2.05%
09/30/2009,896.75,903.3,912.33,892.54,149.33M,-0.67%
09/29/2009,902.82,914.03,917.64,902.22,113.39M,-1.17%
09/28/2009,913.55,899.51,917.23,889.37,122.49M,1.52%
09/25/2009,899.87,901.27,907.64,895.76,104.05M,-0.22%
09/24/2009,901.87,922.51,922.75,900.07,136.67M,-2.29%
09/23/2009,922.99,922,928.94,920.15,132.37M,0.08%
09/22/2009,922.24,912.93,923.73,912.93,112.64M,1.01%
09/21/2009,913.05,919.99,920.26,910.5,97.83M,-0.78%
09/18/2009,920.23,923.47,923.47,909.23,116.46M,-0.39%
09/17/2009,923.83,919.4,929.59,918.95,134.47M,0.59%
09/16/2009,918.44,913.55,925.27,913.55,124.53M,0.59%
09/15/2009,913.07,915.03,919.99,909.27,121.68M,-0.14%
09/14/2009,914.31,917.22,917.22,901.16,101.44M,-0.42%
09/11/2009,918.19,917.37,921.15,913.4,104.16M,0.18%
09/10/2009,916.53,922.08,926.68,909.54,143.52M,-0.54%
09/09/2009,921.48,905.08,921.75,901,146.84M,1.74%
09/08/2009,905.68,904.35,908.86,900.67,133.27M,0.23%
09/07/2009,903.62,892.35,903.75,892.35,83.02M,1.37%
09/04/2009,891.39,879.16,893.48,879.16,130.78M,1.38%
09/03/2009,879.28,873.83,888.19,871.84,141.47M,0.68%
09/02/2009,873.35,888.74,889.3,867.88,183.60M,-1.71%
09/01/2009,888.5,905.09,911.18,884.76,144.66M,-1.81%
08/31/2009,904.84,919.67,919.67,901.72,91.45M,-1.64%
08/28/2009,919.91,902.31,923.28,902.31,154.03M,1.99%
08/27/2009,901.95,903.15,909.18,894.9,122.66M,-0.09%
08/26/2009,902.79,915.82,921.41,901.6,128.82M,-1.45%
08/25/2009,916.06,920.91,921.03,908.97,136.77M,-0.60%
08/24/2009,921.63,914.57,925.03,912.4,133.87M,0.85%
08/21/2009,913.84,886.46,917.18,884.08,173.24M,3.09%
08/20/2009,886.46,869.72,889.07,869.72,143.72M,1.98%
08/19/2009,869.24,872.5,872.74,857.37,122.79M,-0.44%
08/18/2009,873.1,858.63,876.58,858.63,129.15M,1.74%
08/17/2009,858.15,876.74,876.74,853.26,123.78M,-2.12%
